fold_id,test_subject,val_subjects,n_train_subjects,n_train,n_val,n_test,test_prop_baseline,test_prop_stress,test_prop_amusement,test_prop_meditation
0,S2,S3|S4,12,3555,580,284,0.4014,0.2113,0.1232,0.2641
1,S3,S4|S5,12,3543,588,288,0.3924,0.2188,0.125,0.2639
2,S4,S5|S6,12,3537,590,292,0.3938,0.2123,0.1233,0.2705
3,S5,S6|S7,12,3536,587,296,0.402,0.2128,0.1216,0.2635
4,S6,S7|S8,12,3536,589,294,0.398,0.2177,0.1224,0.2619
5,S7,S8|S9,12,3536,590,293,0.3993,0.215,0.1229,0.2628
6,S8,S9|S10,12,3527,596,296,0.3919,0.223,0.1216,0.2635
7,S9,S10|S11,12,3527,598,294,0.398,0.2143,0.1259,0.2619
8,S10,S11|S13,12,3524,593,302,0.3874,0.2351,0.1192,0.2583
9,S11,S13|S14,12,3529,594,296,0.3953,0.2264,0.1216,0.2568
10,S13,S14|S15,12,3527,595,297,0.3939,0.2189,0.1246,0.2626
11,S14,S15|S16,12,3528,594,297,0.3939,0.2222,0.1212,0.2626
12,S15,S16|S17,12,3529,592,298,0.3893,0.2282,0.1208,0.2617
13,S16,S17|S2,12,3543,580,296,0.3953,0.2264,0.1182,0.2601
14,S17,S2|S3,12,3551,572,296,0.3953,0.2399,0.1216,0.2432
