subject_id,client_id,total_valid_windows,baseline_windows,stress_windows,amusement_windows,meditation_windows
S10,client_S10,302,117,71,36,78
S11,client_S11,296,117,67,36,76
S13,client_S13,297,117,65,37,78
S14,client_S14,297,117,66,36,78
S15,client_S15,298,116,68,36,78
S16,client_S16,296,117,67,35,77
S17,client_S17,296,117,71,36,72
S2,client_S2,284,114,60,35,75
S3,client_S3,288,113,63,36,76
S4,client_S4,292,115,62,36,79
S5,client_S5,296,119,63,36,78
S6,client_S6,294,117,64,36,77
S7,client_S7,293,117,63,36,77
S8,client_S8,296,116,66,36,78
S9,client_S9,294,117,63,37,77
